,dteday,season,weekday,atemp,cnt
0,2011-01-01,1,6,0.363625,985
1,2011-01-02,1,0,0.353739,801
2,2011-01-03,1,1,0.189405,1349
3,2011-01-04,1,2,0.212122,1562
4,2011-01-05,1,3,0.22927,1600
5,2011-01-06,1,4,0.233209,1606
6,2011-01-07,1,5,0.208839,1510
7,2011-01-08,1,6,0.162254,959
8,2011-01-09,1,0,0.116175,822
9,2011-01-10,1,1,0.150888,1321
10,2011-01-11,1,2,0.191464,1263
11,2011-01-12,1,3,0.160473,1162
12,2011-01-13,1,4,0.150883,1406
13,2011-01-14,1,5,0.188413,1421
14,2011-01-15,1,6,0.248112,1248
15,2011-01-16,1,0,0.234217,1204
16,2011-01-17,1,1,0.176771,1000
17,2011-01-18,1,2,0.232333,683
18,2011-01-19,1,3,0.298422,1650
19,2011-01-20,1,4,0.25505,1927
20,2011-01-21,1,5,0.157833,1543
21,2011-01-22,1,6,0.0790696,981
22,2011-01-23,1,0,0.0988391,986
23,2011-01-24,1,1,0.11793,1416
24,2011-01-25,1,2,0.234526,1985
25,2011-01-26,1,3,0.2036,506
26,2011-01-27,1,4,0.2197,431
27,2011-01-28,1,5,0.223317,1167
28,2011-01-29,1,6,0.212126,1098
29,2011-01-30,1,0,0.250322,1096
30,2011-01-31,1,1,0.18625,1501
31,2011-02-01,1,2,0.23453,1360
32,2011-02-02,1,3,0.254417,1526
33,2011-02-03,1,4,0.177878,1550
34,2011-02-04,1,5,0.228587,1708
35,2011-02-05,1,6,0.243058,1005
36,2011-02-06,1,0,0.291671,1623
37,2011-02-07,1,1,0.303658,1712
38,2011-02-08,1,2,0.198246,1530
39,2011-02-09,1,3,0.144283,1605
40,2011-02-10,1,4,0.149548,1538
41,2011-02-11,1,5,0.213509,1746
42,2011-02-12,1,6,0.232954,1472
43,2011-02-13,1,0,0.324113,1589
44,2011-02-14,1,1,0.39835,1913
45,2011-02-15,1,2,0.254274,1815
46,2011-02-16,1,3,0.3162,2115
